,0
0,1595847395.3371
1,1595847403.352939
2,1595847463.352177
3,1595847466.577913
4,1595847482.08789
5,1595847500.327222
6,1595847504.34833
7,1595847518.84934
8,1595847529.114625
9,1595847537.091014
10,1595847544.864267
11,1595847552.603765
12,1595847560.614252
13,1595847568.5792918
14,1595847576.600859
15,1595847584.614987
16,1595847592.581599
17,1595847600.590192
18,1595847608.089934
19,1595847634.592593
20,1595847642.5915442
21,1595847686.601307
22,1595847694.3256361
23,1595847702.079063
24,1595847709.3065379
25,1595847717.3531961
26,1595847725.091729
27,1595847742.56878
28,1595847750.817297
29,1595847868.106144
30,1595847870.584673
31,1595847873.344359
32,1595847875.7297611
33,1595847878.593958
