,0
0,1595851262.860546
1,1595851265.35045
2,1595851267.885171
3,1595851271.36529
4,1595851273.885773
5,1595851276.886155
6,1595851279.883368
7,1595851282.600789
8,1595851285.360235
9,1595851288.1351738
10,1595851291.883013
11,1595851294.3602061
12,1595851297.600441
13,1595851300.374669
14,1595851303.1363049
15,1595851305.850852
16,1595851308.622664
17,1595851311.386869
18,1595851314.101516
19,1595851317.622262
20,1595851320.623025
21,1595851323.385599
22,1595851326.101883
23,1595851328.6361642
24,1595851331.3511062
25,1595851333.886781
26,1595851336.601807
27,1595851339.361245
